rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,9232384,3.1044046680132547,3.50255104,0.6916455030441284,1.9969988988753729
16,32,18464768,3.4618166208267214,3.125120512,0.7186251878738403,2.0516106916147754
64,128,73859072,3.334297259648641,4.688797696,0.8126670122146606,2.2539111864795984
